pbell=0.001, space_overhead=34018309, exp_t_cost=23.681595103217596
pbell=0.001595959595959596, space_overhead=34018309, exp_t_cost=23.702469344108795
pbell=0.002191919191919192, space_overhead=34018309, exp_t_cost=23.72205565548611
pbell=0.002787878787878788, space_overhead=34018309, exp_t_cost=23.740350814814814
pbell=0.003383838383838384, space_overhead=34018309, exp_t_cost=23.75996842892361
pbell=0.00397979797979798, space_overhead=34018309, exp_t_cost=23.779602252881944
pbell=0.004575757575757576, space_overhead=34018309, exp_t_cost=23.80056288275463
pbell=0.005171717171717172, space_overhead=34018309, exp_t_cost=23.821541987175927
pbell=0.005767676767676768, space_overhead=34018309, exp_t_cost=23.842539583738425
pbell=0.006363636363636364, space_overhead=34018309, exp_t_cost=23.866184004247685
pbell=0.00695959595959596, space_overhead=34018309, exp_t_cost=23.891167443564814
pbell=0.007555555555555556, space_overhead=34018309, exp_t_cost=23.917494055416668
pbell=0.008151515151515153, space_overhead=34018309, exp_t_cost=23.94516821834491
pbell=0.008747474747474747, space_overhead=34018309, exp_t_cost=23.97551476037037
pbell=0.009343434343434345, space_overhead=34018309, exp_t_cost=24.007221719363425
pbell=0.009939393939393939, space_overhead=34018309, exp_t_cost=24.04294217428241
pbell=0.010535353535353537, space_overhead=34018309, exp_t_cost=24.081367790729168
pbell=0.01113131313131313, space_overhead=34018309, exp_t_cost=24.122511363888886
pbell=0.011727272727272729, space_overhead=34018309, exp_t_cost=24.16904827405093
pbell=0.012323232323232323, space_overhead=34018309, exp_t_cost=24.21967571986111
pbell=0.01291919191919192, space_overhead=34018309, exp_t_cost=24.277092583877316
pbell=0.013515151515151515, space_overhead=34018309, exp_t_cost=24.34000626167824
pbell=0.014111111111111112, space_overhead=34018309, exp_t_cost=24.41249135920139
pbell=0.014707070707070707, space_overhead=34018309, exp_t_cost=24.494632355648147
pbell=0.015303030303030304, space_overhead=34018309, exp_t_cost=24.587879118194444
pbell=0.0158989898989899, space_overhead=34018309, exp_t_cost=24.69779575303241
pbell=0.016494949494949496, space_overhead=34018309, exp_t_cost=24.825969465011575
pbell=0.017090909090909094, space_overhead=34018309, exp_t_cost=24.978180301967594
pbell=0.01768686868686869, space_overhead=34018309, exp_t_cost=25.161788546516203
pbell=0.018282828282828283, space_overhead=34018309, exp_t_cost=25.385857859849537
pbell=0.01887878787878788, space_overhead=34018309, exp_t_cost=25.661332811469908
pbell=0.019474747474747478, space_overhead=34018309, exp_t_cost=26.008451793321758
pbell=0.020070707070707072, space_overhead=34018309, exp_t_cost=26.448914254212966
pbell=0.020666666666666667, space_overhead=34018309, exp_t_cost=27.019613012789353
pbell=0.021262626262626264, space_overhead=34018309, exp_t_cost=27.767134563009257
pbell=0.021858585858585862, space_overhead=38052286, exp_t_cost=25.63629273951389
pbell=0.022454545454545456, space_overhead=38052286, exp_t_cost=25.844398431226853
pbell=0.02305050505050505, space_overhead=38052286, exp_t_cost=26.122476946238425
pbell=0.023646464646464648, space_overhead=38052286, exp_t_cost=26.498935661898148
pbell=0.024242424242424246, space_overhead=38052286, exp_t_cost=27.017189431550925
pbell=0.02483838383838384, space_overhead=38052286, exp_t_cost=27.733672340706015
pbell=0.025434343434343434, space_overhead=38052286, exp_t_cost=28.73533523773148
pbell=0.026030303030303032, space_overhead=38052286, exp_t_cost=30.15309798193287
pbell=0.02662626262626263, space_overhead=42452692, exp_t_cost=27.418166700949076
pbell=0.027222222222222224, space_overhead=42452692, exp_t_cost=27.916850961990743
pbell=0.02781818181818182, space_overhead=42452692, exp_t_cost=28.62045571113426
pbell=0.028414141414141416, space_overhead=42452692, exp_t_cost=29.623768282604164
pbell=0.029010101010101014, space_overhead=42452692, exp_t_cost=31.061478571006948
pbell=0.029606060606060608, space_overhead=47239830, exp_t_cost=28.82330641746528
pbell=0.030202020202020202, space_overhead=47239830, exp_t_cost=29.409283007824072
pbell=0.0307979797979798, space_overhead=47239830, exp_t_cost=30.24425478829861
pbell=0.0313939393939394, space_overhead=47239830, exp_t_cost=31.44332377533565
pbell=0.03198989898989899, space_overhead=47239830, exp_t_cost=33.175481700983795
pbell=0.032585858585858586, space_overhead=52411912, exp_t_cost=30.556394821550928
pbell=0.03318181818181819, space_overhead=52411912, exp_t_cost=31.337286742453703
pbell=0.03377777777777778, space_overhead=52411912, exp_t_cost=32.45700336042823
pbell=0.034373737373737376, space_overhead=57301832, exp_t_cost=31.161457418449075
pbell=0.03496969696969697, space_overhead=57301832, exp_t_cost=31.6416654425
pbell=0.035565656565656564, space_overhead=57301832, exp_t_cost=32.32321039844907
pbell=0.036161616161616165, space_overhead=57301832, exp_t_cost=33.29644833715278
pbell=0.03675757575757576, space_overhead=57301832, exp_t_cost=34.691398200671294
pbell=0.037353535353535354, space_overhead=63219810, exp_t_cost=33.11127822930556
pbell=0.037949494949494955, space_overhead=63219810, exp_t_cost=33.85839831905093
pbell=0.03854545454545455, space_overhead=63219810, exp_t_cost=34.92296634149305
pbell=0.039141414141414144, space_overhead=63219810, exp_t_cost=36.44935614271991
pbell=0.03973737373737374, space_overhead=68616802, exp_t_cost=34.408087161145836
pbell=0.04033333333333333, space_overhead=68616802, exp_t_cost=35.1393087840162
