     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      7441,        77,         0,   0.009,pymatching,b09af4674417e662b056578d843010973cb2492a1f070e2c001a682c5288622d,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.001}",
      8465,        92,         0,   0.010,pymatching,633db638b4c2f570d27637eb11aeaa3c32647ce2c0c5d3020f6100e4940ec6d5,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.0013894954943731376}",
      2321,         5,         0,   0.014,pymatching,b57c624b42f4b5f68ae9a267ff65abcc71392a27741f7faf08ddba2421098d19,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.001}",
     10240,       106,         0,   0.012,pymatching,b09af4674417e662b056578d843010973cb2492a1f070e2c001a682c5288622d,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.001}",
     11264,       107,         0,   0.013,pymatching,633db638b4c2f570d27637eb11aeaa3c32647ce2c0c5d3020f6100e4940ec6d5,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.0013894954943731376}",
      3072,        10,         0,   0.018,pymatching,b57c624b42f4b5f68ae9a267ff65abcc71392a27741f7faf08ddba2421098d19,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.001}",
      2321,         3,         0,   0.014,pymatching,4175ef2a6c449a7930e29c0da2e5024732c6b8754058eb396cbf241465bd3fe1,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.0013894954943731376}",
      2048,         8,         0,   0.012,pymatching,4175ef2a6c449a7930e29c0da2e5024732c6b8754058eb396cbf241465bd3fe1,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.0013894954943731376}",
     15360,       183,         0,   0.019,pymatching,633db638b4c2f570d27637eb11aeaa3c32647ce2c0c5d3020f6100e4940ec6d5,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.0013894954943731376}",
     11264,       122,         0,   0.020,pymatching,b09af4674417e662b056578d843010973cb2492a1f070e2c001a682c5288622d,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.001}",
      3072,         2,         0,   0.020,pymatching,b57c624b42f4b5f68ae9a267ff65abcc71392a27741f7faf08ddba2421098d19,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.001}",
      1297,         0,         0,   0.026,pymatching,931845bc6681a71b1fe114a33ad9796bee7ea32e6fab2981e2845020e8aa840e,"{""d"":7,""k"":21,""p"":0.001,""p_bell"":0.001}",
      3072,         7,         0,   0.021,pymatching,4175ef2a6c449a7930e29c0da2e5024732c6b8754058eb396cbf241465bd3fe1,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.0013894954943731376}",
      1024,         0,         0,   0.017,pymatching,931845bc6681a71b1fe114a33ad9796bee7ea32e6fab2981e2845020e8aa840e,"{""d"":7,""k"":21,""p"":0.001,""p_bell"":0.001}",
     17408,       179,         0,   0.024,pymatching,b09af4674417e662b056578d843010973cb2492a1f070e2c001a682c5288622d,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.001}",
     18432,       217,         0,   0.025,pymatching,633db638b4c2f570d27637eb11aeaa3c32647ce2c0c5d3020f6100e4940ec6d5,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.0013894954943731376}",
       273,         0,         0,   0.013,pymatching,3cb293b9a3e80510b7d8289485293adf6ed9a5ea8024d0d3a8c082565eeca6ec,"{""d"":9,""k"":27,""p"":0.001,""p_bell"":0.001}",
      5120,         9,         0,   0.031,pymatching,b57c624b42f4b5f68ae9a267ff65abcc71392a27741f7faf08ddba2421098d19,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.001}",
      4096,         9,         0,   0.030,pymatching,4175ef2a6c449a7930e29c0da2e5024732c6b8754058eb396cbf241465bd3fe1,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.0013894954943731376}",
      2048,         0,         0,   0.034,pymatching,931845bc6681a71b1fe114a33ad9796bee7ea32e6fab2981e2845020e8aa840e,"{""d"":7,""k"":21,""p"":0.001,""p_bell"":0.001}",
     25600,       272,         0,   0.037,pymatching,b09af4674417e662b056578d843010973cb2492a1f070e2c001a682c5288622d,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.001}",
     28672,       350,         0,   0.037,pymatching,633db638b4c2f570d27637eb11aeaa3c32647ce2c0c5d3020f6100e4940ec6d5,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.0013894954943731376}",
      1024,         0,         0,   0.035,pymatching,3cb293b9a3e80510b7d8289485293adf6ed9a5ea8024d0d3a8c082565eeca6ec,"{""d"":9,""k"":27,""p"":0.001,""p_bell"":0.001}",
      7168,        13,         0,   0.042,pymatching,b57c624b42f4b5f68ae9a267ff65abcc71392a27741f7faf08ddba2421098d19,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.001}",
      6144,         9,         0,   0.038,pymatching,4175ef2a6c449a7930e29c0da2e5024732c6b8754058eb396cbf241465bd3fe1,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.0013894954943731376}",
      2048,         0,         0,   0.035,pymatching,931845bc6681a71b1fe114a33ad9796bee7ea32e6fab2981e2845020e8aa840e,"{""d"":7,""k"":21,""p"":0.001,""p_bell"":0.001}",
         1,         0,         0,   0.016,pymatching,9f6a70ae80b809a162b477c1fb7224f3d090e846d915f17f22a5296b12954633,"{""d"":11,""k"":33,""p"":0.001,""p_bell"":0.001}",
      1024,         0,         0,   0.036,pymatching,3cb293b9a3e80510b7d8289485293adf6ed9a5ea8024d0d3a8c082565eeca6ec,"{""d"":9,""k"":27,""p"":0.001,""p_bell"":0.001}",
     37888,       419,         0,   0.052,pymatching,b09af4674417e662b056578d843010973cb2492a1f070e2c001a682c5288622d,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.001}",
     37888,       415,         0,   0.052,pymatching,633db638b4c2f570d27637eb11aeaa3c32647ce2c0c5d3020f6100e4940ec6d5,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.0013894954943731376}",
       272,         0,         0,   0.018,pymatching,9f6a70ae80b809a162b477c1fb7224f3d090e846d915f17f22a5296b12954633,"{""d"":11,""k"":33,""p"":0.001,""p_bell"":0.001}",
