     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     21777,       113,         0,   0.009,pymatching,29284bac992826eb9cc9673615973b2e576d140ad0b8f760c6a3a0b8444d37b4,"{""d"":3,""k"":9,""p"":0.0,""p_bell"":0.001}",
     16384,        75,         0,   0.012,pymatching,29284bac992826eb9cc9673615973b2e576d140ad0b8f760c6a3a0b8444d37b4,"{""d"":3,""k"":9,""p"":0.0,""p_bell"":0.001}",
     17681,       131,         0,   0.009,pymatching,6d8a28a9d8ebee6b26c4531ca3748b6766293832e58786b173e66eabe774a3d5,"{""d"":3,""k"":9,""p"":0.0,""p_bell"":0.0013894954943731376}",
      5393,         0,         0,   0.011,pymatching,7f1011c1fd63c524f37c5c3f5315d59d91b73fcc7c76d8e8c2771055ea9fd207,"{""d"":5,""k"":15,""p"":0.0,""p_bell"":0.0013894954943731376}",
     25600,       185,         0,   0.014,pymatching,6d8a28a9d8ebee6b26c4531ca3748b6766293832e58786b173e66eabe774a3d5,"{""d"":3,""k"":9,""p"":0.0,""p_bell"":0.0013894954943731376}",
      5393,         0,         0,   0.011,pymatching,8bc13595d30013024136dfe7b4fe00eaf34adf5680c4069ea4f4d2537fa6b25b,"{""d"":5,""k"":15,""p"":0.0,""p_bell"":0.001}",
     35840,       181,         0,   0.017,pymatching,29284bac992826eb9cc9673615973b2e576d140ad0b8f760c6a3a0b8444d37b4,"{""d"":3,""k"":9,""p"":0.0,""p_bell"":0.001}",
      2321,         0,         0,   0.013,pymatching,a701a099575c2ed50fb79a5e28e1c6d92edb78dc7d5ad9a90d958376a8709d9b,"{""d"":7,""k"":21,""p"":0.0,""p_bell"":0.001}",
      7168,         2,         0,   0.014,pymatching,7f1011c1fd63c524f37c5c3f5315d59d91b73fcc7c76d8e8c2771055ea9fd207,"{""d"":5,""k"":15,""p"":0.0,""p_bell"":0.0013894954943731376}",
      7168,         0,         0,   0.014,pymatching,8bc13595d30013024136dfe7b4fe00eaf34adf5680c4069ea4f4d2537fa6b25b,"{""d"":5,""k"":15,""p"":0.0,""p_bell"":0.001}",
      2321,         0,         0,   0.013,pymatching,6bab2ec4163656c1d7513db1223676b9443ce932897a46cfedc87bf203d08cda,"{""d"":7,""k"":21,""p"":0.0,""p_bell"":0.0013894954943731376}",
      3072,         0,         0,   0.016,pymatching,a701a099575c2ed50fb79a5e28e1c6d92edb78dc7d5ad9a90d958376a8709d9b,"{""d"":7,""k"":21,""p"":0.0,""p_bell"":0.001}",
     38912,       262,         0,   0.019,pymatching,6d8a28a9d8ebee6b26c4531ca3748b6766293832e58786b173e66eabe774a3d5,"{""d"":3,""k"":9,""p"":0.0,""p_bell"":0.0013894954943731376}",
     45056,       220,         0,   0.022,pymatching,29284bac992826eb9cc9673615973b2e576d140ad0b8f760c6a3a0b8444d37b4,"{""d"":3,""k"":9,""p"":0.0,""p_bell"":0.001}",
      1297,         0,         0,   0.018,pymatching,c3c7df8e495a7ba8d36a5f11bd86f8c005c142ff5cab4405c8ef2979246e4958,"{""d"":9,""k"":27,""p"":0.0,""p_bell"":0.001}",
      9216,         2,         0,   0.020,pymatching,7f1011c1fd63c524f37c5c3f5315d59d91b73fcc7c76d8e8c2771055ea9fd207,"{""d"":5,""k"":15,""p"":0.0,""p_bell"":0.0013894954943731376}",
      9216,         1,         0,   0.019,pymatching,8bc13595d30013024136dfe7b4fe00eaf34adf5680c4069ea4f4d2537fa6b25b,"{""d"":5,""k"":15,""p"":0.0,""p_bell"":0.001}",
      3072,         0,         0,   0.019,pymatching,6bab2ec4163656c1d7513db1223676b9443ce932897a46cfedc87bf203d08cda,"{""d"":7,""k"":21,""p"":0.0,""p_bell"":0.0013894954943731376}",
      4096,         0,         0,   0.023,pymatching,a701a099575c2ed50fb79a5e28e1c6d92edb78dc7d5ad9a90d958376a8709d9b,"{""d"":7,""k"":21,""p"":0.0,""p_bell"":0.001}",
      1024,         0,         0,   0.013,pymatching,c3c7df8e495a7ba8d36a5f11bd86f8c005c142ff5cab4405c8ef2979246e4958,"{""d"":9,""k"":27,""p"":0.0,""p_bell"":0.001}",
     46080,       332,         0,   0.025,pymatching,6d8a28a9d8ebee6b26c4531ca3748b6766293832e58786b173e66eabe774a3d5,"{""d"":3,""k"":9,""p"":0.0,""p_bell"":0.0013894954943731376}",
      1297,         0,         0,   0.031,pymatching,1b33336b7b05eeb95e4958eed7f08c144e7da6b4b04589ec72a53f76f7a14ff9,"{""d"":11,""k"":33,""p"":0.0,""p_bell"":0.001}",
     12288,         2,         0,   0.027,pymatching,7f1011c1fd63c524f37c5c3f5315d59d91b73fcc7c76d8e8c2771055ea9fd207,"{""d"":5,""k"":15,""p"":0.0,""p_bell"":0.0013894954943731376}",
