     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     21777,         2,         0,   0.009,pymatching,5dc8431eda007a28205584d94474ce5c819d2ea3b80e5e851dcb93aa48bb9a01,"{""d"":3,""k"":9,""p"":0.0001,""p_bell"":0.0}",
     18705,        18,         0,   0.009,pymatching,12c7bad6727a369bf8974ee610eb5d5da46c0117d508400cb85b8c28e2199823,"{""d"":3,""k"":9,""p"":0.0003,""p_bell"":0.0}",
      6417,         2,         0,   0.011,pymatching,2ee0e3f5f60d37da7074442416d0aa1717fdfa2426ba4ad8472583633d105096,"{""d"":5,""k"":15,""p"":0.0003,""p_bell"":0.0}",
      6417,         0,         0,   0.010,pymatching,10835d3033d5e25337a42b556872e121c5e21a7c92d8c4e1862082afe8ae473f,"{""d"":5,""k"":15,""p"":0.0001,""p_bell"":0.0}",
      3345,         0,         0,   0.010,pymatching,04e909335fe079e1047a5b3c02f55598e5384a9f6110eed8a0897a77c85afffc,"{""d"":7,""k"":21,""p"":0.0001,""p_bell"":0.0}",
      2321,         1,         0,   0.010,pymatching,f279525cacead3025662375c0b9befad70c9f75531513046a4ad58afc21c4595,"{""d"":7,""k"":21,""p"":0.0003,""p_bell"":0.0}",
     32768,         6,         0,   0.012,pymatching,5dc8431eda007a28205584d94474ce5c819d2ea3b80e5e851dcb93aa48bb9a01,"{""d"":3,""k"":9,""p"":0.0001,""p_bell"":0.0}",
     25600,        33,         0,   0.013,pymatching,12c7bad6727a369bf8974ee610eb5d5da46c0117d508400cb85b8c28e2199823,"{""d"":3,""k"":9,""p"":0.0003,""p_bell"":0.0}",
      1297,         0,         0,   0.010,pymatching,7529a736c12120635faccb4ea7c8da1bfd218f4eb4a7cd5c832ffa1cd924e061,"{""d"":9,""k"":27,""p"":0.0001,""p_bell"":0.0}",
      8192,         0,         0,   0.015,pymatching,2ee0e3f5f60d37da7074442416d0aa1717fdfa2426ba4ad8472583633d105096,"{""d"":5,""k"":15,""p"":0.0003,""p_bell"":0.0}",
