     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      9489,       114,         0,   0.010,pymatching,24e6af197a5858e90f92732c9e0ecf2778c3ab2e8022cfb86732a09888baa078,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.001}",
      9489,       115,         0,   0.010,pymatching,3267cfbabd7f71d048c92190ccdf1363a25eda067dd5cdaa281f09a9a5a43e34,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.0013894954943731374}",
      2321,         6,         0,   0.010,pymatching,ecf5d0ca2375667d61c56efb438b80452ae6fbf8d20e5514612b74d788adf707,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.001}",
      2321,         7,         0,   0.010,pymatching,11d4338f782246db5caf47f3e6ef177af8f5bb71ed4c0b404c118b40701875f6,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.0013894954943731374}",
     12288,       148,         0,   0.013,pymatching,3267cfbabd7f71d048c92190ccdf1363a25eda067dd5cdaa281f09a9a5a43e34,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.0013894954943731374}",
     12288,       149,         0,   0.013,pymatching,24e6af197a5858e90f92732c9e0ecf2778c3ab2e8022cfb86732a09888baa078,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.001}",
      3072,         6,         0,   0.015,pymatching,ecf5d0ca2375667d61c56efb438b80452ae6fbf8d20e5514612b74d788adf707,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.001}",
      1297,         0,         0,   0.018,pymatching,9a37b70fb67ceb835260f26f5a02eda14d99b6416128cbab7c20d10833982f8b,"{""d"":7,""k"":21,""p"":0.001,""p_bell"":0.001}",
      4096,         9,         0,   0.016,pymatching,11d4338f782246db5caf47f3e6ef177af8f5bb71ed4c0b404c118b40701875f6,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.0013894954943731374}",
       273,         0,         0,   0.011,pymatching,0809b9450c555d5b2ea7b5c0095cfadd1bd2ed7c2989c079a4e2f116911b3a46,"{""d"":9,""k"":27,""p"":0.001,""p_bell"":0.001}",
     19456,       224,         0,   0.019,pymatching,24e6af197a5858e90f92732c9e0ecf2778c3ab2e8022cfb86732a09888baa078,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.001}",
     20480,       236,         0,   0.019,pymatching,3267cfbabd7f71d048c92190ccdf1363a25eda067dd5cdaa281f09a9a5a43e34,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.0013894954943731374}",
      5120,        14,         0,   0.020,pymatching,ecf5d0ca2375667d61c56efb438b80452ae6fbf8d20e5514612b74d788adf707,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.001}",
      2048,         0,         0,   0.022,pymatching,9a37b70fb67ceb835260f26f5a02eda14d99b6416128cbab7c20d10833982f8b,"{""d"":7,""k"":21,""p"":0.001,""p_bell"":0.001}",
      5120,        10,         0,   0.022,pymatching,11d4338f782246db5caf47f3e6ef177af8f5bb71ed4c0b404c118b40701875f6,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.0013894954943731374}",
      1024,         0,         0,   0.021,pymatching,0809b9450c555d5b2ea7b5c0095cfadd1bd2ed7c2989c079a4e2f116911b3a46,"{""d"":9,""k"":27,""p"":0.001,""p_bell"":0.001}",
     28672,       339,         0,   0.027,pymatching,3267cfbabd7f71d048c92190ccdf1363a25eda067dd5cdaa281f09a9a5a43e34,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.0013894954943731374}",
     29696,       325,         0,   0.027,pymatching,24e6af197a5858e90f92732c9e0ecf2778c3ab2e8022cfb86732a09888baa078,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.001}",
      2048,         1,         0,   0.021,pymatching,9a37b70fb67ceb835260f26f5a02eda14d99b6416128cbab7c20d10833982f8b,"{""d"":7,""k"":21,""p"":0.001,""p_bell"":0.001}",
       273,         0,         0,   0.015,pymatching,d10c71110b250f27b86368d769e8a065e4b73b25a30a99bfd759b37401e9fc05,"{""d"":11,""k"":33,""p"":0.001,""p_bell"":0.001}",
      7168,        20,         0,   0.031,pymatching,ecf5d0ca2375667d61c56efb438b80452ae6fbf8d20e5514612b74d788adf707,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.001}",
      1024,         1,         0,   0.020,pymatching,0809b9450c555d5b2ea7b5c0095cfadd1bd2ed7c2989c079a4e2f116911b3a46,"{""d"":9,""k"":27,""p"":0.001,""p_bell"":0.001}",
      7168,        19,         0,   0.028,pymatching,11d4338f782246db5caf47f3e6ef177af8f5bb71ed4c0b404c118b40701875f6,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.0013894954943731374}",
      3072,         1,         0,   0.031,pymatching,9a37b70fb67ceb835260f26f5a02eda14d99b6416128cbab7c20d10833982f8b,"{""d"":7,""k"":21,""p"":0.001,""p_bell"":0.001}",
     39936,       480,         0,   0.037,pymatching,3267cfbabd7f71d048c92190ccdf1363a25eda067dd5cdaa281f09a9a5a43e34,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.0013894954943731374}",
     40960,       478,         0,   0.037,pymatching,24e6af197a5858e90f92732c9e0ecf2778c3ab2e8022cfb86732a09888baa078,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.001}",
        17,         0,         0,   0.010,pymatching,e5e21a47c7533ac0e2b58c8ee26bf0c44d99b6d74ffe8cc931b4af34a120a244,"{""d"":13,""k"":39,""p"":0.001,""p_bell"":0.001}",
      1024,         0,         0,   0.041,pymatching,d10c71110b250f27b86368d769e8a065e4b73b25a30a99bfd759b37401e9fc05,"{""d"":11,""k"":33,""p"":0.001,""p_bell"":0.001}",
      9216,        21,         0,   0.039,pymatching,11d4338f782246db5caf47f3e6ef177af8f5bb71ed4c0b404c118b40701875f6,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.0013894954943731374}",
     10240,        27,         0,   0.042,pymatching,ecf5d0ca2375667d61c56efb438b80452ae6fbf8d20e5514612b74d788adf707,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.001}",
      2048,         0,         0,   0.047,pymatching,0809b9450c555d5b2ea7b5c0095cfadd1bd2ed7c2989c079a4e2f116911b3a46,"{""d"":9,""k"":27,""p"":0.001,""p_bell"":0.001}",
       256,         0,         0,   0.020,pymatching,e5e21a47c7533ac0e2b58c8ee26bf0c44d99b6d74ffe8cc931b4af34a120a244,"{""d"":13,""k"":39,""p"":0.001,""p_bell"":0.001}",
