     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      9489,       104,         0,   0.010,pymatching,840b3a5de32b2507c4f6dec88c5bd29d33ab03618b7e6ea6bb0f502d05a5be37,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.001}",
      9489,       118,         0,   0.009,pymatching,809543772930d22a1163652de6aeecb03b9496a28122dff65fcf6ce04c7387bf,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.0013894954943731374}",
      2321,         9,         0,   0.010,pymatching,ba50baa388856e40e5ec51e93c9481144184673cd62fe1f23483a47e321bdb90,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.0013894954943731374}",
      3345,         9,         0,   0.014,pymatching,73ca813acfdf3274629a75d0861cdd9d6ad6dbd460431bd2b9ca2874941196b2,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.001}",
     14336,       155,         0,   0.013,pymatching,840b3a5de32b2507c4f6dec88c5bd29d33ab03618b7e6ea6bb0f502d05a5be37,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.001}",
     14336,       167,         0,   0.013,pymatching,809543772930d22a1163652de6aeecb03b9496a28122dff65fcf6ce04c7387bf,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.0013894954943731374}",
      1297,         3,         0,   0.015,pymatching,7f2a5ed60e5afaa3b0e4715d9e16de1037f16d59c403ea385cd12b4989858473,"{""d"":7,""k"":21,""p"":0.001,""p_bell"":0.001}",
      5120,        23,         0,   0.017,pymatching,ba50baa388856e40e5ec51e93c9481144184673cd62fe1f23483a47e321bdb90,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.0013894954943731374}",
      4096,        11,         0,   0.016,pymatching,73ca813acfdf3274629a75d0861cdd9d6ad6dbd460431bd2b9ca2874941196b2,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.001}",
      2048,         0,         0,   0.014,pymatching,7f2a5ed60e5afaa3b0e4715d9e16de1037f16d59c403ea385cd12b4989858473,"{""d"":7,""k"":21,""p"":0.001,""p_bell"":0.001}",
      1297,         0,         0,   0.022,pymatching,85e8e1cc6f43b5c9f32fc10efdf18c882f4195940688d8b4220158fad130499f,"{""d"":9,""k"":27,""p"":0.001,""p_bell"":0.001}",
       273,         0,         0,   0.011,pymatching,8b977b32dfe34b056049aec36dbdc839e4e874cd93cad1303cc96641524cbcea,"{""d"":11,""k"":33,""p"":0.001,""p_bell"":0.001}",
     20480,       241,         0,   0.019,pymatching,840b3a5de32b2507c4f6dec88c5bd29d33ab03618b7e6ea6bb0f502d05a5be37,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.001}",
