     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      4369,         0,         0,   0.010,pymatching,201f3ded76c7552028a278ff1e8b2e361f124104b4d72a02edca16c4b3998ee3,"{""d"":5,""k"":15,""p"":0.0001,""p_bell"":0.01}",
     12561,        52,         0,   0.009,pymatching,149dc5e28e8210754c66aec2d4222ba8049eb4f661cd4bee72fdca91e0c20960,"{""d"":3,""k"":9,""p"":0.0001,""p_bell"":0.01}",
      4369,         2,         0,   0.011,pymatching,47b29c42f377877b405fa5b9232df77fde5c8fa0aaefdf81eb3375abc17e9009,"{""d"":5,""k"":15,""p"":0.0003,""p_bell"":0.01}",
      1297,         0,         0,   0.010,pymatching,05ba020e5c1faa5a82f98143db9eeb9ff9126ca59616b8ff23cac8e9fd3be8e9,"{""d"":7,""k"":21,""p"":0.0003,""p_bell"":0.01}",
     11537,        64,         0,   0.010,pymatching,b40c10238d9c617c40242a72ebfe83614fafcb265e208efc1f654822bc187dfa,"{""d"":3,""k"":9,""p"":0.0003,""p_bell"":0.01}",
      2321,         0,         0,   0.010,pymatching,068f747e0a4a169e625db5ac07c1a47184a9ae650ff59c495502d16619ddb3a9,"{""d"":7,""k"":21,""p"":0.0001,""p_bell"":0.01}",
      7168,         0,         0,   0.014,pymatching,201f3ded76c7552028a278ff1e8b2e361f124104b4d72a02edca16c4b3998ee3,"{""d"":5,""k"":15,""p"":0.0001,""p_bell"":0.01}",
     20480,        72,         0,   0.013,pymatching,149dc5e28e8210754c66aec2d4222ba8049eb4f661cd4bee72fdca91e0c20960,"{""d"":3,""k"":9,""p"":0.0001,""p_bell"":0.01}",
      2321,         0,         0,   0.016,pymatching,89372a86401c610cd1c2977f9a35d83e9ad365a2588851d372cb49d8c9b47244,"{""d"":9,""k"":27,""p"":0.0001,""p_bell"":0.01}",
      7168,         4,         0,   0.015,pymatching,47b29c42f377877b405fa5b9232df77fde5c8fa0aaefdf81eb3375abc17e9009,"{""d"":5,""k"":15,""p"":0.0003,""p_bell"":0.01}",
     18432,       100,         0,   0.014,pymatching,b40c10238d9c617c40242a72ebfe83614fafcb265e208efc1f654822bc187dfa,"{""d"":3,""k"":9,""p"":0.0003,""p_bell"":0.01}",
      3072,         0,         0,   0.016,pymatching,05ba020e5c1faa5a82f98143db9eeb9ff9126ca59616b8ff23cac8e9fd3be8e9,"{""d"":7,""k"":21,""p"":0.0003,""p_bell"":0.01}",
      5120,         0,         0,   0.017,pymatching,068f747e0a4a169e625db5ac07c1a47184a9ae650ff59c495502d16619ddb3a9,"{""d"":7,""k"":21,""p"":0.0001,""p_bell"":0.01}",
     11264,         0,         0,   0.020,pymatching,201f3ded76c7552028a278ff1e8b2e361f124104b4d72a02edca16c4b3998ee3,"{""d"":5,""k"":15,""p"":0.0001,""p_bell"":0.01}",
     29696,       113,         0,   0.018,pymatching,149dc5e28e8210754c66aec2d4222ba8049eb4f661cd4bee72fdca91e0c20960,"{""d"":3,""k"":9,""p"":0.0001,""p_bell"":0.01}",
      1297,         0,         0,   0.019,pymatching,f8172f99e6a9ade0d794d3ff2dcc88020904ffc90fa2aef064010d9480b35114,"{""d"":11,""k"":33,""p"":0.0001,""p_bell"":0.01}",
      3072,         0,         0,   0.020,pymatching,89372a86401c610cd1c2977f9a35d83e9ad365a2588851d372cb49d8c9b47244,"{""d"":9,""k"":27,""p"":0.0001,""p_bell"":0.01}",
     25600,       147,         0,   0.019,pymatching,b40c10238d9c617c40242a72ebfe83614fafcb265e208efc1f654822bc187dfa,"{""d"":3,""k"":9,""p"":0.0003,""p_bell"":0.01}",
     10240,         8,         0,   0.020,pymatching,47b29c42f377877b405fa5b9232df77fde5c8fa0aaefdf81eb3375abc17e9009,"{""d"":5,""k"":15,""p"":0.0003,""p_bell"":0.01}",
      6144,         0,         0,   0.021,pymatching,068f747e0a4a169e625db5ac07c1a47184a9ae650ff59c495502d16619ddb3a9,"{""d"":7,""k"":21,""p"":0.0001,""p_bell"":0.01}",
      5120,         0,         0,   0.026,pymatching,05ba020e5c1faa5a82f98143db9eeb9ff9126ca59616b8ff23cac8e9fd3be8e9,"{""d"":7,""k"":21,""p"":0.0003,""p_bell"":0.01}",
      2048,         0,         0,   0.021,pymatching,f8172f99e6a9ade0d794d3ff2dcc88020904ffc90fa2aef064010d9480b35114,"{""d"":11,""k"":33,""p"":0.0001,""p_bell"":0.01}",
      3072,         0,         0,   0.020,pymatching,89372a86401c610cd1c2977f9a35d83e9ad365a2588851d372cb49d8c9b47244,"{""d"":9,""k"":27,""p"":0.0001,""p_bell"":0.01}",
