     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     14609,         0,         0,   0.010,pymatching,2d01f4f765c3f5f29cc1753e903b88e19588c99ceef4501bb2e4e634590370e5,"{""d"":3,""k"":9,""p"":0.0001}",
     13585,        14,         0,   0.009,pymatching,729b78ef05fe13039392a9d8aabbe9e7eea25b309da5a0a94b9b2d9dcdc79940,"{""d"":3,""k"":9,""p"":0.0003}",
     15360,         0,         0,   0.012,pymatching,2d01f4f765c3f5f29cc1753e903b88e19588c99ceef4501bb2e4e634590370e5,"{""d"":3,""k"":9,""p"":0.0001}",
     20480,        13,         0,   0.012,pymatching,729b78ef05fe13039392a9d8aabbe9e7eea25b309da5a0a94b9b2d9dcdc79940,"{""d"":3,""k"":9,""p"":0.0003}",
      4369,         0,         0,   0.010,pymatching,0593f06d153b123ddb97bc4f4cfd12c9836356364225d1172649f65e844e3626,"{""d"":5,""k"":15,""p"":0.0001}",
      3345,         0,         0,   0.010,pymatching,53868c044baa6ecc104a437d54a8a1174a230957245e9b83fbe522d970de59ab,"{""d"":5,""k"":15,""p"":0.0003}",
     35840,         2,         0,   0.019,pymatching,2d01f4f765c3f5f29cc1753e903b88e19588c99ceef4501bb2e4e634590370e5,"{""d"":3,""k"":9,""p"":0.0001}",
     27648,        21,         0,   0.019,pymatching,729b78ef05fe13039392a9d8aabbe9e7eea25b309da5a0a94b9b2d9dcdc79940,"{""d"":3,""k"":9,""p"":0.0003}",
      6144,         0,         0,   0.014,pymatching,0593f06d153b123ddb97bc4f4cfd12c9836356364225d1172649f65e844e3626,"{""d"":5,""k"":15,""p"":0.0001}",
      5120,         1,         0,   0.014,pymatching,53868c044baa6ecc104a437d54a8a1174a230957245e9b83fbe522d970de59ab,"{""d"":5,""k"":15,""p"":0.0003}",
      1297,         0,         0,   0.011,pymatching,f95c631cad0a9fb0e5e866de5035cbe98de4a4fb766ef3511960ca525e2d3652,"{""d"":7,""k"":21,""p"":0.0001}",
     45056,         5,         0,   0.025,pymatching,2d01f4f765c3f5f29cc1753e903b88e19588c99ceef4501bb2e4e634590370e5,"{""d"":3,""k"":9,""p"":0.0001}",
      8192,         0,         0,   0.020,pymatching,0593f06d153b123ddb97bc4f4cfd12c9836356364225d1172649f65e844e3626,"{""d"":5,""k"":15,""p"":0.0001}",
      6144,         2,         0,   0.019,pymatching,53868c044baa6ecc104a437d54a8a1174a230957245e9b83fbe522d970de59ab,"{""d"":5,""k"":15,""p"":0.0003}",
     37888,        21,         0,   0.026,pymatching,729b78ef05fe13039392a9d8aabbe9e7eea25b309da5a0a94b9b2d9dcdc79940,"{""d"":3,""k"":9,""p"":0.0003}",
      1024,         0,         0,   0.021,pymatching,f95c631cad0a9fb0e5e866de5035cbe98de4a4fb766ef3511960ca525e2d3652,"{""d"":7,""k"":21,""p"":0.0001}",
      1297,         0,         0,   0.021,pymatching,789f4172e93af3dce37cd463c9bcbcf995529ee8387d4c94f4b2d6af34decbd5,"{""d"":9,""k"":27,""p"":0.0001}",
     11264,         0,         0,   0.028,pymatching,0593f06d153b123ddb97bc4f4cfd12c9836356364225d1172649f65e844e3626,"{""d"":5,""k"":15,""p"":0.0001}",
      9216,         2,         0,   0.029,pymatching,53868c044baa6ecc104a437d54a8a1174a230957245e9b83fbe522d970de59ab,"{""d"":5,""k"":15,""p"":0.0003}",
     62464,         5,         0,   0.036,pymatching,2d01f4f765c3f5f29cc1753e903b88e19588c99ceef4501bb2e4e634590370e5,"{""d"":3,""k"":9,""p"":0.0001}",
      1297,         0,         0,   0.015,pymatching,7a537a9e807b6292c1eff91847ffd38676cc1b48093e02ebff8360e75bfbd964,"{""d"":7,""k"":21,""p"":0.0003}",
      3072,         0,         0,   0.020,pymatching,f95c631cad0a9fb0e5e866de5035cbe98de4a4fb766ef3511960ca525e2d3652,"{""d"":7,""k"":21,""p"":0.0001}",
     52224,        34,         0,   0.036,pymatching,729b78ef05fe13039392a9d8aabbe9e7eea25b309da5a0a94b9b2d9dcdc79940,"{""d"":3,""k"":9,""p"":0.0003}",
      1024,         0,         0,   0.014,pymatching,789f4172e93af3dce37cd463c9bcbcf995529ee8387d4c94f4b2d6af34decbd5,"{""d"":9,""k"":27,""p"":0.0001}",
      2048,         0,         0,   0.019,pymatching,7a537a9e807b6292c1eff91847ffd38676cc1b48093e02ebff8360e75bfbd964,"{""d"":7,""k"":21,""p"":0.0003}",
      8192,         1,         0,   0.032,pymatching,53868c044baa6ecc104a437d54a8a1174a230957245e9b83fbe522d970de59ab,"{""d"":5,""k"":15,""p"":0.0003}",
      2048,         0,         0,   0.028,pymatching,789f4172e93af3dce37cd463c9bcbcf995529ee8387d4c94f4b2d6af34decbd5,"{""d"":9,""k"":27,""p"":0.0001}",
     15360,         0,         0,   0.038,pymatching,0593f06d153b123ddb97bc4f4cfd12c9836356364225d1172649f65e844e3626,"{""d"":5,""k"":15,""p"":0.0001}",
      5120,         0,         0,   0.033,pymatching,f95c631cad0a9fb0e5e866de5035cbe98de4a4fb766ef3511960ca525e2d3652,"{""d"":7,""k"":21,""p"":0.0001}",
      3072,         0,         0,   0.029,pymatching,7a537a9e807b6292c1eff91847ffd38676cc1b48093e02ebff8360e75bfbd964,"{""d"":7,""k"":21,""p"":0.0003}",
     61440,         7,         0,   0.052,pymatching,2d01f4f765c3f5f29cc1753e903b88e19588c99ceef4501bb2e4e634590370e5,"{""d"":3,""k"":9,""p"":0.0001}",
       273,         0,         0,   0.013,pymatching,86ca84117addb3f9eba4e2ad63fcb8feb2e7751c6f068d418b541265cb05bf20,"{""d"":11,""k"":33,""p"":0.0001}",
     73728,        55,         0,   0.052,pymatching,729b78ef05fe13039392a9d8aabbe9e7eea25b309da5a0a94b9b2d9dcdc79940,"{""d"":3,""k"":9,""p"":0.0003}",
      2048,         0,         0,   0.030,pymatching,789f4172e93af3dce37cd463c9bcbcf995529ee8387d4c94f4b2d6af34decbd5,"{""d"":9,""k"":27,""p"":0.0001}",
      6144,         0,         0,   0.040,pymatching,f95c631cad0a9fb0e5e866de5035cbe98de4a4fb766ef3511960ca525e2d3652,"{""d"":7,""k"":21,""p"":0.0001}",
      3072,         0,         0,   0.027,pymatching,7a537a9e807b6292c1eff91847ffd38676cc1b48093e02ebff8360e75bfbd964,"{""d"":7,""k"":21,""p"":0.0003}",
      1024,         0,         0,   0.026,pymatching,86ca84117addb3f9eba4e2ad63fcb8feb2e7751c6f068d418b541265cb05bf20,"{""d"":11,""k"":33,""p"":0.0001}",
     16384,         1,         0,   0.052,pymatching,53868c044baa6ecc104a437d54a8a1174a230957245e9b83fbe522d970de59ab,"{""d"":5,""k"":15,""p"":0.0003}",
     18432,         0,         0,   0.049,pymatching,0593f06d153b123ddb97bc4f4cfd12c9836356364225d1172649f65e844e3626,"{""d"":5,""k"":15,""p"":0.0001}",
      3072,         0,         0,   0.042,pymatching,789f4172e93af3dce37cd463c9bcbcf995529ee8387d4c94f4b2d6af34decbd5,"{""d"":9,""k"":27,""p"":0.0001}",
      4096,         0,         0,   0.040,pymatching,7a537a9e807b6292c1eff91847ffd38676cc1b48093e02ebff8360e75bfbd964,"{""d"":7,""k"":21,""p"":0.0003}",
      1024,         0,         0,   0.027,pymatching,86ca84117addb3f9eba4e2ad63fcb8feb2e7751c6f068d418b541265cb05bf20,"{""d"":11,""k"":33,""p"":0.0001}",
    102400,         4,         0,   0.071,pymatching,2d01f4f765c3f5f29cc1753e903b88e19588c99ceef4501bb2e4e634590370e5,"{""d"":3,""k"":9,""p"":0.0001}",
     89088,        77,         0,   0.063,pymatching,729b78ef05fe13039392a9d8aabbe9e7eea25b309da5a0a94b9b2d9dcdc79940,"{""d"":3,""k"":9,""p"":0.0003}",
      8192,         0,         0,   0.056,pymatching,f95c631cad0a9fb0e5e866de5035cbe98de4a4fb766ef3511960ca525e2d3652,"{""d"":7,""k"":21,""p"":0.0001}",
     22528,         2,         0,   0.074,pymatching,53868c044baa6ecc104a437d54a8a1174a230957245e9b83fbe522d970de59ab,"{""d"":5,""k"":15,""p"":0.0003}",
      1024,         0,         0,   0.043,pymatching,86ca84117addb3f9eba4e2ad63fcb8feb2e7751c6f068d418b541265cb05bf20,"{""d"":11,""k"":33,""p"":0.0001}",
     25600,         1,         0,   0.070,pymatching,0593f06d153b123ddb97bc4f4cfd12c9836356364225d1172649f65e844e3626,"{""d"":5,""k"":15,""p"":0.0001}",
      4096,         0,         0,   0.063,pymatching,789f4172e93af3dce37cd463c9bcbcf995529ee8387d4c94f4b2d6af34decbd5,"{""d"":9,""k"":27,""p"":0.0001}",
      7168,         0,         0,   0.061,pymatching,7a537a9e807b6292c1eff91847ffd38676cc1b48093e02ebff8360e75bfbd964,"{""d"":7,""k"":21,""p"":0.0003}",
      1024,         0,         0,   0.040,pymatching,86ca84117addb3f9eba4e2ad63fcb8feb2e7751c6f068d418b541265cb05bf20,"{""d"":11,""k"":33,""p"":0.0001}",
     11264,         0,         0,   0.078,pymatching,f95c631cad0a9fb0e5e866de5035cbe98de4a4fb766ef3511960ca525e2d3652,"{""d"":7,""k"":21,""p"":0.0001}",
    156672,        18,         0,   0.099,pymatching,2d01f4f765c3f5f29cc1753e903b88e19588c99ceef4501bb2e4e634590370e5,"{""d"":3,""k"":9,""p"":0.0001}",
    143360,       100,         0,   0.101,pymatching,729b78ef05fe13039392a9d8aabbe9e7eea25b309da5a0a94b9b2d9dcdc79940,"{""d"":3,""k"":9,""p"":0.0003}",
      9216,         0,         0,   0.079,pymatching,7a537a9e807b6292c1eff91847ffd38676cc1b48093e02ebff8360e75bfbd964,"{""d"":7,""k"":21,""p"":0.0003}",
      6144,         0,         0,   0.087,pymatching,789f4172e93af3dce37cd463c9bcbcf995529ee8387d4c94f4b2d6af34decbd5,"{""d"":9,""k"":27,""p"":0.0001}",
     40960,         0,         0,   0.102,pymatching,0593f06d153b123ddb97bc4f4cfd12c9836356364225d1172649f65e844e3626,"{""d"":5,""k"":15,""p"":0.0001}",
     34816,         2,         0,   0.105,pymatching,53868c044baa6ecc104a437d54a8a1174a230957245e9b83fbe522d970de59ab,"{""d"":5,""k"":15,""p"":0.0003}",
      1024,         0,         0,   0.049,pymatching,86ca84117addb3f9eba4e2ad63fcb8feb2e7751c6f068d418b541265cb05bf20,"{""d"":11,""k"":33,""p"":0.0001}",
     14336,         0,         0,   0.098,pymatching,f95c631cad0a9fb0e5e866de5035cbe98de4a4fb766ef3511960ca525e2d3652,"{""d"":7,""k"":21,""p"":0.0001}",
      2048,         0,         0,   0.083,pymatching,86ca84117addb3f9eba4e2ad63fcb8feb2e7751c6f068d418b541265cb05bf20,"{""d"":11,""k"":33,""p"":0.0001}",
     12288,         0,         0,   0.106,pymatching,7a537a9e807b6292c1eff91847ffd38676cc1b48093e02ebff8360e75bfbd964,"{""d"":7,""k"":21,""p"":0.0003}",
      8192,         0,         0,   0.116,pymatching,789f4172e93af3dce37cd463c9bcbcf995529ee8387d4c94f4b2d6af34decbd5,"{""d"":9,""k"":27,""p"":0.0001}",
