     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     47377,         0,         0,   0.009,pymatching,46347a40e0231f367a102c59d06e55f4d015ecaf0b3c85d7582f431b311de074,"{""d"":3,""k"":9,""p"":0.0001}",
     10513,         0,         0,   0.010,pymatching,90f00d6ccff56ef851bcc1a00d1334333e0ff9153489e9edcd2efbb57921a8b2,"{""d"":5,""k"":15,""p"":0.0001}",
     55296,         1,         0,   0.012,pymatching,46347a40e0231f367a102c59d06e55f4d015ecaf0b3c85d7582f431b311de074,"{""d"":3,""k"":9,""p"":0.0001}",
      4369,         0,         0,   0.011,pymatching,438552bcecaf51a4341b02489c2d935d23da6b9f3824fc87f93f26d178bde745,"{""d"":7,""k"":21,""p"":0.0001}",
     19456,         0,         0,   0.014,pymatching,90f00d6ccff56ef851bcc1a00d1334333e0ff9153489e9edcd2efbb57921a8b2,"{""d"":5,""k"":15,""p"":0.0001}",
     98304,         3,         0,   0.018,pymatching,46347a40e0231f367a102c59d06e55f4d015ecaf0b3c85d7582f431b311de074,"{""d"":3,""k"":9,""p"":0.0001}",
      8192,         0,         0,   0.016,pymatching,438552bcecaf51a4341b02489c2d935d23da6b9f3824fc87f93f26d178bde745,"{""d"":7,""k"":21,""p"":0.0001}",
      1297,         0,         0,   0.010,pymatching,c72be59c624dfef458cb781ca55033f6d2674a28dc450258028e7375e2da8f99,"{""d"":9,""k"":27,""p"":0.0001}",
     27648,         0,         0,   0.019,pymatching,90f00d6ccff56ef851bcc1a00d1334333e0ff9153489e9edcd2efbb57921a8b2,"{""d"":5,""k"":15,""p"":0.0001}",
     10240,         0,         0,   0.019,pymatching,438552bcecaf51a4341b02489c2d935d23da6b9f3824fc87f93f26d178bde745,"{""d"":7,""k"":21,""p"":0.0001}",
    140288,         6,         0,   0.025,pymatching,46347a40e0231f367a102c59d06e55f4d015ecaf0b3c85d7582f431b311de074,"{""d"":3,""k"":9,""p"":0.0001}",
      4096,         0,         0,   0.018,pymatching,c72be59c624dfef458cb781ca55033f6d2674a28dc450258028e7375e2da8f99,"{""d"":9,""k"":27,""p"":0.0001}",
     38912,         0,         0,   0.027,pymatching,90f00d6ccff56ef851bcc1a00d1334333e0ff9153489e9edcd2efbb57921a8b2,"{""d"":5,""k"":15,""p"":0.0001}",
