     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      2321,       137,         0,   0.015,pymatching,1cdbbe38e0e0fd8fca3a6eef81a7b7dbf1390b7fa2866f2324b4cdf6c1ae636f,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.003}",
      2321,       141,         0,   0.017,pymatching,4c47f7dc62a535c2b4908a8eb33e365fc0704fda515da7b4a23b758995bb1010,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.005}",
      3072,       163,         0,   0.018,pymatching,1cdbbe38e0e0fd8fca3a6eef81a7b7dbf1390b7fa2866f2324b4cdf6c1ae636f,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.003}",
      3072,       189,         0,   0.018,pymatching,4c47f7dc62a535c2b4908a8eb33e365fc0704fda515da7b4a23b758995bb1010,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.005}",
      4096,       246,         0,   0.024,pymatching,1cdbbe38e0e0fd8fca3a6eef81a7b7dbf1390b7fa2866f2324b4cdf6c1ae636f,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.003}",
      3072,       224,         0,   0.018,pymatching,4c47f7dc62a535c2b4908a8eb33e365fc0704fda515da7b4a23b758995bb1010,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.005}",
       273,         2,         0,   0.011,pymatching,82145be87b80a5af8b49bdef5281bc8da58d3dbe25b65409782d3abddbe551da,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.005}",
      5120,       316,         0,   0.032,pymatching,1cdbbe38e0e0fd8fca3a6eef81a7b7dbf1390b7fa2866f2324b4cdf6c1ae636f,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.003}",
      5120,       340,         0,   0.032,pymatching,4c47f7dc62a535c2b4908a8eb33e365fc0704fda515da7b4a23b758995bb1010,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.005}",
      1024,        15,         0,   0.027,pymatching,82145be87b80a5af8b49bdef5281bc8da58d3dbe25b65409782d3abddbe551da,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.005}",
       273,         4,         0,   0.012,pymatching,533b21441840507d587c0f97971d5c5da856e70215590bd3c6cbf29c5d8ea576,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.003}",
      6144,       372,         0,   0.037,pymatching,1cdbbe38e0e0fd8fca3a6eef81a7b7dbf1390b7fa2866f2324b4cdf6c1ae636f,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.003}",
      6144,       368,         0,   0.038,pymatching,4c47f7dc62a535c2b4908a8eb33e365fc0704fda515da7b4a23b758995bb1010,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.005}",
      1024,         7,         0,   0.028,pymatching,82145be87b80a5af8b49bdef5281bc8da58d3dbe25b65409782d3abddbe551da,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.005}",
      1024,        14,         0,   0.033,pymatching,533b21441840507d587c0f97971d5c5da856e70215590bd3c6cbf29c5d8ea576,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.003}",
      1024,        18,         0,   0.027,pymatching,82145be87b80a5af8b49bdef5281bc8da58d3dbe25b65409782d3abddbe551da,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.005}",
      8192,       545,         0,   0.053,pymatching,4c47f7dc62a535c2b4908a8eb33e365fc0704fda515da7b4a23b758995bb1010,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.005}",
      9216,       552,         0,   0.058,pymatching,1cdbbe38e0e0fd8fca3a6eef81a7b7dbf1390b7fa2866f2324b4cdf6c1ae636f,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.003}",
      1024,        13,         0,   0.032,pymatching,533b21441840507d587c0f97971d5c5da856e70215590bd3c6cbf29c5d8ea576,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.003}",
      1024,        21,         0,   0.033,pymatching,533b21441840507d587c0f97971d5c5da856e70215590bd3c6cbf29c5d8ea576,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.003}",
      2048,        32,         0,   0.056,pymatching,82145be87b80a5af8b49bdef5281bc8da58d3dbe25b65409782d3abddbe551da,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.005}",
        17,         0,         0,   0.010,pymatching,6edbed5681ea3921ad7fdd71c4991f04c4102aaa5bdd1e9569a26b34add9188b,"{""d"":7,""k"":21,""p"":0.001,""p_bell"":0.003}",
       256,         0,         0,   0.022,pymatching,6edbed5681ea3921ad7fdd71c4991f04c4102aaa5bdd1e9569a26b34add9188b,"{""d"":7,""k"":21,""p"":0.001,""p_bell"":0.003}",
      9216,       601,         0,   0.075,pymatching,4c47f7dc62a535c2b4908a8eb33e365fc0704fda515da7b4a23b758995bb1010,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.005}",
     12288,       749,         0,   0.079,pymatching,1cdbbe38e0e0fd8fca3a6eef81a7b7dbf1390b7fa2866f2324b4cdf6c1ae636f,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.003}",
      2048,        42,         0,   0.058,pymatching,82145be87b80a5af8b49bdef5281bc8da58d3dbe25b65409782d3abddbe551da,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.005}",
      2048,        22,         0,   0.063,pymatching,533b21441840507d587c0f97971d5c5da856e70215590bd3c6cbf29c5d8ea576,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.003}",
       273,         2,         0,   0.028,pymatching,8148e7ddf9b5f1d24963ba8028269eecc35629971e191475be365df46797de9e,"{""d"":7,""k"":21,""p"":0.001,""p_bell"":0.005}",
      9216,       612,         0,   0.065,pymatching,4c47f7dc62a535c2b4908a8eb33e365fc0704fda515da7b4a23b758995bb1010,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.005}",
      9216,       495,         0,   0.063,pymatching,1cdbbe38e0e0fd8fca3a6eef81a7b7dbf1390b7fa2866f2324b4cdf6c1ae636f,"{""d"":3,""k"":9,""p"":0.001,""p_bell"":0.003}",
      1024,         4,         0,   0.084,pymatching,6edbed5681ea3921ad7fdd71c4991f04c4102aaa5bdd1e9569a26b34add9188b,"{""d"":7,""k"":21,""p"":0.001,""p_bell"":0.003}",
      2048,        23,         0,   0.058,pymatching,533b21441840507d587c0f97971d5c5da856e70215590bd3c6cbf29c5d8ea576,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.003}",
      1024,         4,         0,   0.079,pymatching,8148e7ddf9b5f1d24963ba8028269eecc35629971e191475be365df46797de9e,"{""d"":7,""k"":21,""p"":0.001,""p_bell"":0.005}",
      3072,        44,         0,   0.093,pymatching,82145be87b80a5af8b49bdef5281bc8da58d3dbe25b65409782d3abddbe551da,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.005}",
      3072,        54,         0,   0.082,pymatching,533b21441840507d587c0f97971d5c5da856e70215590bd3c6cbf29c5d8ea576,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.003}",
      1024,         3,         0,   0.083,pymatching,6edbed5681ea3921ad7fdd71c4991f04c4102aaa5bdd1e9569a26b34add9188b,"{""d"":7,""k"":21,""p"":0.001,""p_bell"":0.003}",
         1,         0,         0,   0.014,pymatching,68b897b08a5594200b89756caa4d28b8aaf9d2730417c3e379de628216feb3b8,"{""d"":9,""k"":27,""p"":0.001,""p_bell"":0.003}",
      1024,         1,         0,   0.077,pymatching,8148e7ddf9b5f1d24963ba8028269eecc35629971e191475be365df46797de9e,"{""d"":7,""k"":21,""p"":0.001,""p_bell"":0.005}",
       272,         0,         0,   0.052,pymatching,68b897b08a5594200b89756caa4d28b8aaf9d2730417c3e379de628216feb3b8,"{""d"":9,""k"":27,""p"":0.001,""p_bell"":0.003}",
      1024,         0,         0,   0.084,pymatching,6edbed5681ea3921ad7fdd71c4991f04c4102aaa5bdd1e9569a26b34add9188b,"{""d"":7,""k"":21,""p"":0.001,""p_bell"":0.003}",
      4096,        65,         0,   0.134,pymatching,82145be87b80a5af8b49bdef5281bc8da58d3dbe25b65409782d3abddbe551da,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.005}",
      1024,         1,         0,   0.079,pymatching,8148e7ddf9b5f1d24963ba8028269eecc35629971e191475be365df46797de9e,"{""d"":7,""k"":21,""p"":0.001,""p_bell"":0.005}",
      4096,        53,         0,   0.111,pymatching,533b21441840507d587c0f97971d5c5da856e70215590bd3c6cbf29c5d8ea576,"{""d"":5,""k"":15,""p"":0.001,""p_bell"":0.003}",
      1024,         4,         0,   0.084,pymatching,6edbed5681ea3921ad7fdd71c4991f04c4102aaa5bdd1e9569a26b34add9188b,"{""d"":7,""k"":21,""p"":0.001,""p_bell"":0.003}",
